,date,state,fips,cases,deaths
42898,2022-04-17,Washington,53,1475546,12672
42954,2022-04-18,Washington,53,1478644,12676
19151,2021-02-13,West Virginia,54,127282,2201
19206,2021-02-14,West Virginia,54,127588,2210
19261,2021-02-15,West Virginia,54,127889,2212
19316,2021-02-16,West Virginia,54,128117,2216
19371,2021-02-17,West Virginia,54,128405,2225
19426,2021-02-18,West Virginia,54,128760,2236
19481,2021-02-19,West Virginia,54,129055,2248
19536,2021-02-20,West Virginia,54,129364,2254
19591,2021-02-21,West Virginia,54,129616,2261
19646,2021-02-22,West Virginia,54,129854,2263
19701,2021-02-23,West Virginia,54,130139,2274
19756,2021-02-24,West Virginia,54,130382,2285
19811,2021-02-25,West Virginia,54,130813,2290
19866,2021-02-26,West Virginia,54,131234,2291
19921,2021-02-27,West Virginia,54,131580,2297
19976,2021-02-28,West Virginia,54,131855,2300
20031,2021-03-01,West Virginia,54,132048,2300
20086,2021-03-02,West Virginia,54,132184,2301
20141,2021-03-03,West Virginia,54,132416,2309
20196,2021-03-04,West Virginia,54,132677,2309
20251,2021-03-05,West Virginia,54,132964,2318
20306,2021-03-06,West Virginia,54,133290,2323
20361,2021-03-07,West Virginia,54,133445,2325
20416,2021-03-08,West Virginia,54,133627,2325
20471,2021-03-09,West Virginia,54,133856,2326
20526,2021-03-10,West Virginia,54,134158,2330
20581,2021-03-11,West Virginia,54,134496,2338
20636,2021-03-12,West Virginia,54,134842,2511
20691,2021-03-13,West Virginia,54,135149,2519
20746,2021-03-14,West Virginia,54,135468,2530
20801,2021-03-15,West Virginia,54,135678,2531
20856,2021-03-16,West Virginia,54,136019,2546
20911,2021-03-17,West Virginia,54,136334,2565
20966,2021-03-18,West Virginia,54,136716,2570
21021,2021-03-19,West Virginia,54,137092,2600
21076,2021-03-20,West Virginia,54,137478,2600
21131,2021-03-21,West Virginia,54,137826,2606
21186,2021-03-22,West Virginia,54,138102,2612
21241,2021-03-23,West Virginia,54,138429,2613
21296,2021-03-24,West Virginia,54,138818,2619
21351,2021-03-25,West Virginia,54,139251,2624
21406,2021-03-26,West Virginia,54,139750,2628
21461,2021-03-27,West Virginia,54,140316,2631
21516,2021-03-28,West Virginia,54,140613,2634
21571,2021-03-29,West Virginia,54,140991,2638
21626,2021-03-30,West Virginia,54,141322,2640
21681,2021-03-31,West Virginia,54,141738,2676
21736,2021-04-01,West Virginia,54,142233,2683
21791,2021-04-02,West Virginia,54,142653,2688
21846,2021-04-03,West Virginia,54,143106,2693
